panel,metric,value,value_percent,n,true_fog,true_mist,true_clear,station,low_true,low_pred,true_class,predicted_class,count
station_event_sites,low_vis_recall,0.1428571326530619,14.28571326530619,1285.0,,,,ZLJQ,14.0,18.0,,,
station_event_sites,accuracy,0.9766536964980544,97.66536964980544,1285.0,,,,ZLJQ,14.0,18.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZLLL,2.0,0.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZLLL,2.0,0.0,,,
station_event_sites,accuracy,0.998443579766537,99.8443579766537,1285.0,,,,ZLLL,2.0,0.0,,,
station_event_sites,low_vis_precision,0.0303030293847566,3.03030293847566,1285.0,,,,ZLLN,1.0,33.0,,,
station_event_sites,low_vis_recall,0.999999000001,99.9999000001,1285.0,,,,ZLLN,1.0,33.0,,,
station_event_sites,accuracy,0.97431906614786,97.431906614786,1285.0,,,,ZLLN,1.0,33.0,,,
station_event_sites,low_vis_precision,0.0322580634755463,3.22580634755463,1285.0,,,,ZLQY,1.0,31.0,,,
station_event_sites,low_vis_recall,0.999999000001,99.9999000001,1285.0,,,,ZLQY,1.0,31.0,,,
station_event_sites,accuracy,0.9766536964980544,97.66536964980544,1285.0,,,,ZLQY,1.0,31.0,,,
station_event_sites,low_vis_precision,0.2307692130177528,23.07692130177528,1285.0,,,,ZLXY,3.0,13.0,,,
station_event_sites,low_vis_recall,0.9999996666667778,99.99996666667778,1285.0,,,,ZLXY,3.0,13.0,,,
station_event_sites,accuracy,0.9922178988326849,99.22178988326849,1285.0,,,,ZLXY,3.0,13.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZLZW,2.0,0.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZLZW,2.0,0.0,,,
station_event_sites,accuracy,0.998443579766537,99.8443579766537,1285.0,,,,ZLZW,2.0,0.0,,,
station_event_sites,low_vis_precision,0.0280373829155384,2.8037382915538402,1282.0,,,,ZPCW,3.0,107.0,,,
station_event_sites,low_vis_recall,0.9999996666667778,99.99996666667778,1282.0,,,,ZPCW,3.0,107.0,,,
station_event_sites,accuracy,0.9180967238689548,91.80967238689549,1282.0,,,,ZPCW,3.0,107.0,,,
station_event_sites,low_vis_precision,0.0126582276878705,1.26582276878705,1285.0,,,,ZPJM,5.0,79.0,,,
